City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
half moon bay,40,US,1554072967,28,37.46,-122.43,78.01,6.93
busselton,80,AU,1554072980,48,-33.64,115.35,70.0,12.01
mount gambier,90,AU,1554069600,93,-37.83,140.78,53.6,4.7
aksu,0,KZ,1554071400,92,52.04,76.93,28.4,6.71
erenhot,12,CN,1554073309,46,43.65,111.97,27.44,6.53
mar del plata,76,AR,1554073147,39,-46.43,-67.52,67.04,10.67
ushuaia,75,AR,1554069600,71,-54.81,-68.31,51.8,9.17
georgetown,40,GY,1554069600,74,6.8,-58.16,84.2,11.41
saint george,0,GR,1554069000,66,39.45,22.34,48.2,3.4
butaritari,36,KI,1554073131,100,3.07,172.79,81.53,13.24
