City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
butterworth,75,MY,1557851400,79,5.4,100.37,86.0,1.12
henties bay,50,NA,1557852713,66,-22.12,14.28,63.69,12.44
saint-philippe,90,CA,1557852608,87,45.36,-73.48,48.0,14.99
lovozero,100,RU,1557852715,60,68.01,35.02,45.15,1.66
san bernardo,0,CL,1557852664,28,-33.59,-70.7,82.99,3.36
carnarvon,100,ZA,1557852716,27,-30.97,22.13,66.57,7.87
hasaki,75,JP,1557851737,100,35.73,140.83,60.8,5.82
busselton,96,AU,1557852652,57,-33.64,115.35,46.0,6.85
chowchilla,1,US,1557852700,49,37.12,-120.26,73.0,3.36
atuona,6,PF,1557852717,75,-9.8,-139.03,82.05,19.82
margate,75,AU,1557852675,66,-43.03,147.26,55.0,10.29
cape town,20,ZA,1557852380,82,-33.93,18.42,69.01,5.82
kununurra,0,AU,1557849600,72,-15.77,128.74,64.4,2.24
albany,90,US,1557852711,81,42.65,-73.75,48.0,2.39
kenai,90,US,1557852424,86,60.55,-151.26,45.0,3.36
airai,19,TL,1557852719,75,-8.93,125.41,74.31,7.92
thompson,20,CA,1557849600,45,55.74,-97.86,42.8,8.05
ushuaia,40,AR,1557849600,81,-54.81,-68.31,44.6,4.7
taylor,75,US,1557852695,53,30.57,-97.41,82.4,8.72
pevek,31,RU,1557852720,90,69.7,170.27,12.75,1.57
new norfolk,75,AU,1557852675,66,-42.78,147.06,55.0,10.29
hilo,20,US,1557852685,73,19.71,-155.08,71.01,4.7
tasiilaq,75,GL,1557850800,75,65.61,-37.64,41.0,31.09
bonfim,40,BR,1557852343,54,-20.33,-44.24,82.4,3.36
hermanus,48,ZA,1557852390,84,-34.42,19.24,66.0,5.01
codrington,75,AU,1557852698,93,-28.95,153.24,61.0,6.93
rikitea,38,PF,1557852723,76,-23.12,-134.97,76.47,7.74
jamestown,0,AU,1557852723,59,-33.21,138.6,52.71,7.25
uppsala,88,SE,1557852534,30,59.86,17.64,59.0,2.24
coihaique,0,CL,1557849600,86,-45.58,-72.07,44.6,6.93
mataura,69,NZ,1557852725,78,-46.19,168.86,51.63,14.43
yellowknife,75,CA,1557852494,68,62.45,-114.38,30.99,11.41
moussoro,87,TD,1557852616,5,13.64,16.49,101.31,5.39
lavrentiya,96,RU,1557852726,96,65.58,-170.99,27.69,5.46
castro,0,CL,1557849600,76,-42.48,-73.76,50.0,6.93
puerto ayora,20,EC,1557852310,70,-0.74,-90.35,84.2,19.46
saint-pierre,0,FR,1557852725,31,48.95,4.24,64.4,18.34
necochea,0,AR,1557852489,50,-38.55,-58.74,63.0,1.01
los llanos de aridane,20,ES,1557852021,64,28.66,-17.92,73.4,11.41
kodinsk,17,RU,1557852729,76,58.6,99.18,30.03,2.95
meulaboh,100,ID,1557852729,74,4.14,96.13,83.85,4.45
